,hour_index,snow_prediction,temperature,precipitation_prediction
0,0,0,97.64285326004028,-2.9140211117267607
1,1,0,114.25515937805176,-3.372355661392212
2,2,0,121.85124588012695,-3.583308300971985
3,3,0,125.06018447875977,-3.67237580537796
4,4,0,126.36685943603516,-3.7086332273483276
5,5,0,126.89091300964355,-3.723173265457153
6,6,0,127.09984016418457,-3.7289697790145873
7,7,0,127.18290519714355,-3.731274926662445
8,8,0,127.21592044830322,-3.732189974784851
9,9,0,127.22902488708496,-3.7325534152984616
10,10,0,127.23423194885254,-3.7326980662345886
11,11,0,127.23628997802734,-3.7327556848526
12,12,0,127.23710823059082,-3.7327782487869263
13,13,0,127.23745536804199,-3.7327871131896972
14,14,0,127.23757934570312,-3.732791142463684
15,15,0,127.23762893676758,-3.732792754173279
16,16,0,127.2376537322998,-3.7327931571006774
17,17,0,127.2376537322998,-3.732793560028076
18,18,0,127.23766613006592,-3.732793560028076
19,19,0,127.23766613006592,-3.732793560028076
20,20,0,127.23766613006592,-3.732793560028076
21,21,0,127.23766613006592,-3.732793560028076
22,22,0,127.23766613006592,-3.732793560028076
23,23,0,127.23766613006592,-3.732793560028076
24,24,0,127.23766613006592,-3.732793560028076
25,25,0,127.23766613006592,-3.732793560028076
26,26,0,127.23766613006592,-3.732793560028076
27,27,0,127.23766613006592,-3.732793560028076
28,28,0,127.23766613006592,-3.732793560028076
29,29,0,127.23766613006592,-3.732793560028076
30,30,0,127.23766613006592,-3.732793560028076
31,31,0,127.23766613006592,-3.732793560028076
32,32,0,127.23766613006592,-3.732793560028076
33,33,0,127.23766613006592,-3.732793560028076
34,34,0,127.23766613006592,-3.732793560028076
35,35,0,127.23766613006592,-3.732793560028076
36,36,0,127.23766613006592,-3.732793560028076
37,37,0,127.23766613006592,-3.732793560028076
38,38,0,127.23766613006592,-3.732793560028076
39,39,0,127.23766613006592,-3.732793560028076
40,40,0,127.23766613006592,-3.732793560028076
41,41,0,127.23766613006592,-3.732793560028076
42,42,0,127.23766613006592,-3.732793560028076
43,43,0,127.23766613006592,-3.732793560028076
44,44,0,127.23766613006592,-3.732793560028076
45,45,0,127.23766613006592,-3.732793560028076
46,46,0,127.23766613006592,-3.732793560028076
47,47,0,127.23766613006592,-3.732793560028076
48,48,0,127.23766613006592,-3.732793560028076
49,49,0,127.23766613006592,-3.732793560028076
50,50,0,127.23766613006592,-3.732793560028076
51,51,0,127.23766613006592,-3.732793560028076
52,52,0,127.23766613006592,-3.732793560028076
53,53,0,127.23766613006592,-3.732793560028076
54,54,0,127.23766613006592,-3.732793560028076
55,55,0,127.23766613006592,-3.732793560028076
56,56,0,127.23766613006592,-3.732793560028076
57,57,0,127.23766613006592,-3.732793560028076
58,58,0,127.23766613006592,-3.732793560028076
59,59,0,127.23766613006592,-3.732793560028076
60,60,0,127.23766613006592,-3.732793560028076
61,61,0,127.23766613006592,-3.732793560028076
62,62,0,127.23766613006592,-3.732793560028076
63,63,0,127.23766613006592,-3.732793560028076
64,64,0,127.23766613006592,-3.732793560028076
65,65,0,127.23766613006592,-3.732793560028076
66,66,0,127.23766613006592,-3.732793560028076
67,67,0,127.23766613006592,-3.732793560028076
68,68,0,127.23766613006592,-3.732793560028076
69,69,0,127.23766613006592,-3.732793560028076
70,70,0,127.23766613006592,-3.732793560028076
71,71,0,127.23766613006592,-3.732793560028076
