,day_of_year,snow_prediction,high_temperature,low_temperature,precipitation_prediction
0,2025-01-01,0,127.23766613006592,97.64285326004028,-88.15780655503272
1,2025-01-02,0,127.23766613006592,127.23766613006592,-89.58704544067382
2,2025-01-03,0,127.23766613006592,127.23766613006592,-89.58704544067382
3,2025-01-04,0,127.23766613006592,127.23766613006592,-89.58704544067382
4,2025-01-05,0,127.23766613006592,127.23766613006592,-89.58704544067382
5,2025-01-06,0,127.23766613006592,127.23766613006592,-89.58704544067382
6,2025-01-07,0,127.23766613006592,127.23766613006592,-89.58704544067382
7,2025-01-08,0,127.23766613006592,127.23766613006592,-89.58704544067382
8,2025-01-09,0,127.23766613006592,127.23766613006592,-89.58704544067382
9,2025-01-10,0,127.23766613006592,127.23766613006592,-89.58704544067382
10,2025-01-11,0,127.23766613006592,127.23766613006592,-89.58704544067382
11,2025-01-12,0,127.23766613006592,127.23766613006592,-89.58704544067382
12,2025-01-13,0,127.23766613006592,127.23766613006592,-89.58704544067382
13,2025-01-14,0,127.23766613006592,127.23766613006592,-89.58704544067382
14,2025-01-15,0,127.23766613006592,127.23766613006592,-89.58704544067382
15,2025-01-16,0,127.23766613006592,127.23766613006592,-89.58704544067382
16,2025-01-17,0,127.23766613006592,127.23766613006592,-89.58704544067382
17,2025-01-18,0,127.23766613006592,127.23766613006592,-89.58704544067382
18,2025-01-19,0,127.23766613006592,127.23766613006592,-89.58704544067382
19,2025-01-20,0,127.23766613006592,127.23766613006592,-89.58704544067382
20,2025-01-21,0,127.23766613006592,127.23766613006592,-89.58704544067382
21,2025-01-22,0,127.23766613006592,127.23766613006592,-89.58704544067382
22,2025-01-23,0,127.23766613006592,127.23766613006592,-89.58704544067382
23,2025-01-24,0,127.23766613006592,127.23766613006592,-89.58704544067382
24,2025-01-25,0,127.23766613006592,127.23766613006592,-89.58704544067382
25,2025-01-26,0,127.23766613006592,127.23766613006592,-89.58704544067382
26,2025-01-27,0,127.23766613006592,127.23766613006592,-89.58704544067382
27,2025-01-28,0,127.23766613006592,127.23766613006592,-89.58704544067382
28,2025-01-29,0,127.23766613006592,127.23766613006592,-89.58704544067382
29,2025-01-30,0,127.23766613006592,127.23766613006592,-89.58704544067382
30,2025-01-31,0,127.23766613006592,127.23766613006592,-89.58704544067382
31,2025-02-01,0,127.23766613006592,127.23766613006592,-89.58704544067382
32,2025-02-02,0,127.23766613006592,127.23766613006592,-89.58704544067382
33,2025-02-03,0,127.23766613006592,127.23766613006592,-89.58704544067382
34,2025-02-04,0,127.23766613006592,127.23766613006592,-89.58704544067382
35,2025-02-05,0,127.23766613006592,127.23766613006592,-89.58704544067382
36,2025-02-06,0,127.23766613006592,127.23766613006592,-89.58704544067382
37,2025-02-07,0,127.23766613006592,127.23766613006592,-89.58704544067382
38,2025-02-08,0,127.23766613006592,127.23766613006592,-89.58704544067382
39,2025-02-09,0,127.23766613006592,127.23766613006592,-89.58704544067382
40,2025-02-10,0,127.23766613006592,127.23766613006592,-89.58704544067382
41,2025-02-11,0,127.23766613006592,127.23766613006592,-89.58704544067382
42,2025-02-12,0,127.23766613006592,127.23766613006592,-89.58704544067382
43,2025-02-13,0,127.23766613006592,127.23766613006592,-89.58704544067382
44,2025-02-14,0,127.23766613006592,127.23766613006592,-89.58704544067382
45,2025-02-15,0,127.23766613006592,127.23766613006592,-89.58704544067382
46,2025-02-16,0,127.23766613006592,127.23766613006592,-89.58704544067382
47,2025-02-17,0,127.23766613006592,127.23766613006592,-89.58704544067382
48,2025-02-18,0,127.23766613006592,127.23766613006592,-89.58704544067382
49,2025-02-19,0,127.23766613006592,127.23766613006592,-89.58704544067382
50,2025-02-20,0,127.23766613006592,127.23766613006592,-89.58704544067382
51,2025-02-21,0,127.23766613006592,127.23766613006592,-89.58704544067382
52,2025-02-22,0,127.23766613006592,127.23766613006592,-89.58704544067382
53,2025-02-23,0,127.23766613006592,127.23766613006592,-89.58704544067382
54,2025-02-24,0,127.23766613006592,127.23766613006592,-89.58704544067382
55,2025-02-25,0,127.23766613006592,127.23766613006592,-89.58704544067382
56,2025-02-26,0,127.23766613006592,127.23766613006592,-89.58704544067382
57,2025-02-27,0,127.23766613006592,127.23766613006592,-89.58704544067382
58,2025-02-28,0,127.23766613006592,127.23766613006592,-89.58704544067382
59,2025-03-01,0,127.23766613006592,127.23766613006592,-89.58704544067382
60,2025-03-02,0,127.23766613006592,127.23766613006592,-89.58704544067382
61,2025-03-03,0,127.23766613006592,127.23766613006592,-89.58704544067382
62,2025-03-04,0,127.23766613006592,127.23766613006592,-89.58704544067382
63,2025-03-05,0,127.23766613006592,127.23766613006592,-89.58704544067382
64,2025-03-06,0,127.23766613006592,127.23766613006592,-89.58704544067382
65,2025-03-07,0,127.23766613006592,127.23766613006592,-89.58704544067382
66,2025-03-08,0,127.23766613006592,127.23766613006592,-89.58704544067382
67,2025-03-09,0,127.23766613006592,127.23766613006592,-89.58704544067382
68,2025-03-10,0,127.23766613006592,127.23766613006592,-89.58704544067382
69,2025-03-11,0,127.23766613006592,127.23766613006592,-89.58704544067382
70,2025-03-12,0,127.23766613006592,127.23766613006592,-89.58704544067382
71,2025-03-13,0,127.23766613006592,127.23766613006592,-89.58704544067382
72,2025-03-14,0,127.23766613006592,127.23766613006592,-89.58704544067382
73,2025-03-15,0,127.23766613006592,127.23766613006592,-89.58704544067382
74,2025-03-16,0,127.23766613006592,127.23766613006592,-89.58704544067382
75,2025-03-17,0,127.23766613006592,127.23766613006592,-89.58704544067382
76,2025-03-18,0,127.23766613006592,127.23766613006592,-89.58704544067382
77,2025-03-19,0,127.23766613006592,127.23766613006592,-89.58704544067382
78,2025-03-20,0,127.23766613006592,127.23766613006592,-89.58704544067382
79,2025-03-21,0,127.23766613006592,127.23766613006592,-89.58704544067382
80,2025-03-22,0,127.23766613006592,127.23766613006592,-89.58704544067382
81,2025-03-23,0,127.23766613006592,127.23766613006592,-89.58704544067382
82,2025-03-24,0,127.23766613006592,127.23766613006592,-89.58704544067382
83,2025-03-25,0,127.23766613006592,127.23766613006592,-89.58704544067382
84,2025-03-26,0,127.23766613006592,127.23766613006592,-89.58704544067382
85,2025-03-27,0,127.23766613006592,127.23766613006592,-89.58704544067382
86,2025-03-28,0,127.23766613006592,127.23766613006592,-89.58704544067382
87,2025-03-29,0,127.23766613006592,127.23766613006592,-89.58704544067382
88,2025-03-30,0,127.23766613006592,127.23766613006592,-89.58704544067382
89,2025-03-31,0,127.23766613006592,127.23766613006592,-89.58704544067382
90,2025-04-01,0,127.23766613006592,127.23766613006592,-89.58704544067382
91,2025-04-02,0,127.23766613006592,127.23766613006592,-89.58704544067382
92,2025-04-03,0,127.23766613006592,127.23766613006592,-89.58704544067382
93,2025-04-04,0,127.23766613006592,127.23766613006592,-89.58704544067382
94,2025-04-05,0,127.23766613006592,127.23766613006592,-89.58704544067382
95,2025-04-06,0,127.23766613006592,127.23766613006592,-89.58704544067382
96,2025-04-07,0,127.23766613006592,127.23766613006592,-89.58704544067382
97,2025-04-08,0,127.23766613006592,127.23766613006592,-89.58704544067382
98,2025-04-09,0,127.23766613006592,127.23766613006592,-89.58704544067382
99,2025-04-10,0,127.23766613006592,127.23766613006592,-89.58704544067382
100,2025-04-11,0,127.23766613006592,127.23766613006592,-89.58704544067382
101,2025-04-12,0,127.23766613006592,127.23766613006592,-89.58704544067382
102,2025-04-13,0,127.23766613006592,127.23766613006592,-89.58704544067382
103,2025-04-14,0,127.23766613006592,127.23766613006592,-89.58704544067382
104,2025-04-15,0,127.23766613006592,127.23766613006592,-89.58704544067382
105,2025-04-16,0,127.23766613006592,127.23766613006592,-89.58704544067382
106,2025-04-17,0,127.23766613006592,127.23766613006592,-89.58704544067382
107,2025-04-18,0,127.23766613006592,127.23766613006592,-89.58704544067382
108,2025-04-19,0,127.23766613006592,127.23766613006592,-89.58704544067382
109,2025-04-20,0,127.23766613006592,127.23766613006592,-89.58704544067382
110,2025-04-21,0,127.23766613006592,127.23766613006592,-89.58704544067382
111,2025-04-22,0,127.23766613006592,127.23766613006592,-89.58704544067382
112,2025-04-23,0,127.23766613006592,127.23766613006592,-89.58704544067382
113,2025-04-24,0,127.23766613006592,127.23766613006592,-89.58704544067382
114,2025-04-25,0,127.23766613006592,127.23766613006592,-89.58704544067382
115,2025-04-26,0,127.23766613006592,127.23766613006592,-89.58704544067382
116,2025-04-27,0,127.23766613006592,127.23766613006592,-89.58704544067382
117,2025-04-28,0,127.23766613006592,127.23766613006592,-89.58704544067382
118,2025-04-29,0,127.23766613006592,127.23766613006592,-89.58704544067382
119,2025-04-30,0,127.23766613006592,127.23766613006592,-89.58704544067382
120,2025-05-01,0,127.23766613006592,127.23766613006592,-89.58704544067382
121,2025-05-02,0,127.23766613006592,127.23766613006592,-89.58704544067382
122,2025-05-03,0,127.23766613006592,127.23766613006592,-89.58704544067382
123,2025-05-04,0,127.23766613006592,127.23766613006592,-89.58704544067382
124,2025-05-05,0,127.23766613006592,127.23766613006592,-89.58704544067382
125,2025-05-06,0,127.23766613006592,127.23766613006592,-89.58704544067382
126,2025-05-07,0,127.23766613006592,127.23766613006592,-89.58704544067382
127,2025-05-08,0,127.23766613006592,127.23766613006592,-89.58704544067382
128,2025-05-09,0,127.23766613006592,127.23766613006592,-89.58704544067382
129,2025-05-10,0,127.23766613006592,127.23766613006592,-89.58704544067382
130,2025-05-11,0,127.23766613006592,127.23766613006592,-89.58704544067382
131,2025-05-12,0,127.23766613006592,127.23766613006592,-89.58704544067382
132,2025-05-13,0,127.23766613006592,127.23766613006592,-89.58704544067382
133,2025-05-14,0,127.23766613006592,127.23766613006592,-89.58704544067382
134,2025-05-15,0,127.23766613006592,127.23766613006592,-89.58704544067382
135,2025-05-16,0,127.23766613006592,127.23766613006592,-89.58704544067382
136,2025-05-17,0,127.23766613006592,127.23766613006592,-89.58704544067382
137,2025-05-18,0,127.23766613006592,127.23766613006592,-89.58704544067382
138,2025-05-19,0,127.23766613006592,127.23766613006592,-89.58704544067382
139,2025-05-20,0,127.23766613006592,127.23766613006592,-89.58704544067382
140,2025-05-21,0,127.23766613006592,127.23766613006592,-89.58704544067382
141,2025-05-22,0,127.23766613006592,127.23766613006592,-89.58704544067382
142,2025-05-23,0,127.23766613006592,127.23766613006592,-89.58704544067382
143,2025-05-24,0,127.23766613006592,127.23766613006592,-89.58704544067382
